plot,veg_type,date,observer,species,plant,stage,flower_stalk,longest_leaf,new_growth,corner,soil_moisture,active_layer,notes
PS3,HER,27-Jun-16,Jakob,DRYINT,4,P2 - Date first appearance of petals in flower buds,37,17,NA,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,DRYINT,5,P2 - Date first appearance of petals in flower buds,51,22,NA,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,DRYINT,6,P2 - Date first appearance of petals in flower buds,46,31,NA,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,ERIVAG,1,P4 - Date first pollen visible (yellow anthers),142,98,NA,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,ERIVAG,2,P4 - Date first pollen visible (yellow anthers),205,108,NA,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,ERIVAG,3,P4 - Date first pollen visible (yellow anthers),182,97,NA,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,ERIVAG,4,P4 - Date first pollen visible (yellow anthers),76,117,NA,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,ERIVAG,5,P3 - Date first appearance of flower buds,134,105,NA,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,ERIVAG,6,P4 - Date first pollen visible (yellow anthers),138,121,NA,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,NA,NA,NA,NA,NA,NA,NE,42.9,18,NA
PS3,HER,27-Jun-16,Jakob,NA,NA,NA,NA,NA,NA,NW,44.3,13.4,NA
PS3,HER,27-Jun-16,Jakob,NA,NA,NA,NA,NA,NA,SW,49.6,14.1,NA
PS3,HER,27-Jun-16,Jakob,NA,NA,NA,NA,NA,NA,SE,46.3,18.1,NA
PS3,HER,27-Jun-16,Jakob,SALPUL,1,P2 - Date first leaf bud burst,NA,26,11,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,SALPUL,2,P2 - Date first leaf bud burst,NA,31,12,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,SALPUL,3,P2 - Date first leaf bud burst,NA,36,11,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,SALPUL,4,P2 - Date first leaf bud burst,NA,18,9,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,SALPUL,5,P2 - Date first leaf bud burst,NA,25,5,NA,NA,NA,NA
PS3,HER,27-Jun-16,Jakob,SALPUL,6,P2 - Date first leaf bud burst,NA,20,3,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,ARCLAT,1,P2 - Date green stem/leaves growing,NA,170,NA,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,ARCLAT,2,P2 - Date green stem/leaves growing,NA,169,NA,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,ARCLAT,3,P2 - Date green stem/leaves growing,NA,227,NA,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,ARCLAT,4,P6 - Date first seeds dispersed,401,299,NA,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,ARCLAT,5,P2 - Date green stem/leaves growing,NA,148,NA,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,ARCLAT,6,P2 - Date green stem/leaves growing,NA,155,NA,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,DRYINT,1,P6 - Date seeds start dispersing,95,21,NA,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,DRYINT,2,P6 - Date seeds start dispersing,121,122,NA,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,DRYINT,3,P5 - Date first twisting of filaments on seed heads,106,20,NA,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,DRYINT,4,P7 - Date seeds finish dispersing,43,19,NA,NA,NA,NA,Flower not developing properly. Leaves brown and dead looking.
PS3,KOM,13-Aug-16,Isla,DRYINT,5,P6 - Date seeds start dispersing,134,38,NA,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,DRYINT,6,P6 - Date seeds start dispersing,92,16,NA,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,NA,NA,NA,NA,NA,NA,NE,45.1,45.9,NA
PS3,KOM,13-Aug-16,Isla,NA,NA,NA,NA,NA,NA,NW,48.5,51.1,NA
PS3,KOM,13-Aug-16,Isla,NA,NA,NA,NA,NA,NA,SW,40.9,55.6,NA
PS3,KOM,13-Aug-16,Isla,NA,NA,NA,NA,NA,NA,SE,44.5,46.7,NA
PS3,KOM,13-Aug-16,Isla,SALARC,1,P5 - Date first yellowing of leaves,NA,67,32,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,SALARC,2,P5 - Date first yellowing of leaves,NA,46,10,NA,NA,NA,Herbivory
PS3,KOM,13-Aug-16,Isla,SALARC,3,P5 - Date first yellowing of leaves,NA,58,35,NA,NA,NA,Herbivory
PS3,KOM,13-Aug-16,Isla,SALARC,4,P5 - Date first yellowing of leaves,NA,43,26,NA,NA,NA,Herbivory
PS3,KOM,13-Aug-16,Isla,SALARC,5,P5 - Date first yellowing of leaves,NA,39,12,NA,NA,NA,NA
PS3,KOM,13-Aug-16,Isla,SALARC,6,P5 - Date first yellowing of leaves,NA,49,21,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,ARCLAT,1,P2 - Date green stem/leaves growing,NA,162,NA,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,ARCLAT,2,P2 - Date green stem/leaves growing,NA,147,NA,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,ARCLAT,3,P2 - Date green stem/leaves growing,NA,214,NA,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,ARCLAT,4,P6 - Date first seeds dispersed,392,291,NA,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,ARCLAT,5,P2 - Date green stem/leaves growing,NA,156,NA,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,ARCLAT,6,P2 - Date green stem/leaves growing,NA,148,NA,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,DRYINT,1,P6 - Date seeds start dispersing,99,21,NA,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,DRYINT,2,P5 - Date first twisting of filaments on seed heads,120,29,NA,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,DRYINT,3,P5 - Date first twisting of filaments on seed heads,112,30,NA,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,DRYINT,4,P7 - Date seeds finish dispersing,45,21,NA,NA,NA,NA,Flower not developing properly
PS3,KOM,10-Aug-16,Jakob,DRYINT,5,P6 - Date seeds start dispersing,140,45,NA,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,DRYINT,6,P5 - Date first twisting of filaments on seed heads,97,17,NA,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,NA,NA,NA,NA,NA,NA,NE,48,45.5,NA
PS3,KOM,10-Aug-16,Jakob,NA,NA,NA,NA,NA,NA,NW,52.6,49.9,NA
PS3,KOM,10-Aug-16,Jakob,NA,NA,NA,NA,NA,NA,SW,33.9,52.4,NA
PS3,KOM,10-Aug-16,Jakob,NA,NA,NA,NA,NA,NA,SE,51.2,52.6,NA
PS3,KOM,10-Aug-16,Jakob,SALARC,1,P5 - Date first yellowing of leaves,NA,70,31,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,SALARC,2,P2 - Date first leaf bud burst,NA,52,8,NA,NA,NA,Her ivory
PS3,KOM,10-Aug-16,Jakob,SALARC,3,P5 - Date first yellowing of leaves,NA,59,31,NA,NA,NA,Herbivory
PS3,KOM,10-Aug-16,Jakob,SALARC,4,P5 - Date first yellowing of leaves,NA,43,21,NA,NA,NA,Herbivory
PS3,KOM,10-Aug-16,Jakob,SALARC,5,P5 - Date first yellowing of leaves,NA,51,25,NA,NA,NA,NA
PS3,KOM,10-Aug-16,Jakob,SALARC,6,P5 - Date first yellowing of leaves,NA,48,14,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,ARCLAT,1,P2 - Date green stem/leaves growing,NA,161,NA,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,ARCLAT,2,P2 - Date green stem/leaves growing,NA,146,NA,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,ARCLAT,3,P2 - Date green stem/leaves growing,NA,216,NA,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,ARCLAT,4,P6 - Date first seeds dispersed,397,301,NA,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,ARCLAT,5,P2 - Date green stem/leaves growing,NA,136,NA,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,ARCLAT,6,P2 - Date green stem/leaves growing,NA,151,NA,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,DRYINT,1,P5 - Date first twisting of filaments on seed heads,97,18,NA,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,DRYINT,2,P5 - Date first twisting of filaments on seed heads,122,31,NA,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,DRYINT,3,P5 - Date first twisting of filaments on seed heads,105,31,NA,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,DRYINT,4,P6 - Date seeds start dispersing,42,8,NA,NA,NA,NA,Flower not developing properly
PS3,KOM,04-Aug-16,Isla,DRYINT,5,P5 - Date first twisting of filaments on seed heads,141,31,NA,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,DRYINT,6,P5 - Date first twisting of filaments on seed heads,83,27,NA,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,NA,NA,NA,NA,NA,NA,NE,47.9,43.8,NA
PS3,KOM,04-Aug-16,Isla,NA,NA,NA,NA,NA,NA,NW,50.9,50.1,NA
PS3,KOM,04-Aug-16,Isla,NA,NA,NA,NA,NA,NA,SW,43.6,52.1,NA
PS3,KOM,04-Aug-16,Isla,NA,NA,NA,NA,NA,NA,SE,51.8,53.5,NA
PS3,KOM,04-Aug-16,Isla,SALARC,1,P5 - Date first yellowing of leaves,NA,63,36,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,SALARC,2,P2 - Date first leaf bud burst,NA,50,21,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,SALARC,3,P5 - Date first yellowing of leaves,NA,46,36,NA,NA,NA,Herbivory
PS3,KOM,04-Aug-16,Isla,SALARC,4,P3 - Date first pollen visible on males,NA,44,32,NA,NA,NA,Herbivory
PS3,KOM,04-Aug-16,Isla,SALARC,5,P5 - Date first yellowing of leaves,NA,50,16,NA,NA,NA,NA
PS3,KOM,04-Aug-16,Isla,SALARC,6,P5 - Date first yellowing of leaves,NA,48,19,NA,NA,NA,NA
PS3,KOM,27-Jul-16,Jakob,ARCLAT,1,P2 - Date green stem/leaves growing,NA,56,NA,NA,NA,NA,NA
PS3,KOM,27-Jul-16,Jakob,ARCLAT,2,P2 - Date green stem/leaves growing,NA,168,NA,NA,NA,NA,Discolouration 
PS3,KOM,27-Jul-16,Jakob,ARCLAT,3,P2 - Date green stem/leaves growing,NA,222,NA,NA,NA,NA,Discolouration 
PS3,KOM,27-Jul-16,Jakob,ARCLAT,4,P6 - Date first seeds dispersed,394,294,NA,NA,NA,NA,NA
PS3,KOM,27-Jul-16,Jakob,ARCLAT,5,P2 - Date green stem/leaves growing,NA,150,NA,NA,NA,NA,Funny discolouration 
PS3,KOM,27-Jul-16,Jakob,ARCLAT,6,P2 - Date green stem/leaves growing,NA,147,NA,NA,NA,NA,Discolouration
PS3,KOM,27-Jul-16,Jakob,DRYINT,1,P5 - Date first twisting of filaments on seed heads,96,19,NA,NA,NA,NA,NA
PS3,KOM,27-Jul-16,Jakob,DRYINT,2,P5 - Date first twisting of filaments on seed heads,117,20,NA,NA,NA,NA,NA
PS3,KOM,27-Jul-16,Jakob,DRYINT,3,P5 - Date first twisting of filaments on seed heads,104,33,NA,NA,NA,NA,NA
PS3,KOM,27-Jul-16,Jakob,DRYINT,4,P6 - Date seeds start dispersing,38,18,NA,NA,NA,NA,NA
PS3,KOM,27-Jul-16,Jakob,DRYINT,5,P5 - Date first twisting of filaments on seed heads,147,38,NA,NA,NA,NA,NA
PS3,KOM,27-Jul-16,Jakob,DRYINT,6,P5 - Date first twisting of filaments on seed heads,94,17,NA,NA,NA,NA,NA
PS3,KOM,27-Jul-16,Jakob,NA,NA,NA,NA,NA,NA,NE,46.9,43,NA
PS3,KOM,27-Jul-16,Jakob,NA,NA,NA,NA,NA,NA,NW,42.8,46.1,NA
